UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm,fgm_fgs_quality
2023-01-16T00:14:09.000,7.074783,-2.110731,6.206859,2.6593735,-2.110731,4.907147,4.6386714,0
2023-01-16T00:14:14.000,6.635402,-1.6317825,5.8257713,2.7251115,-1.6317825,4.5268574,4.5687423,0
2023-01-16T00:14:18.000,6.565715,-1.8160751,5.7812467,2.527384,-1.8160751,4.5533895,4.367737,0
2023-01-16T00:14:22.000,6.8752723,-2.0397525,5.888402,2.904394,-2.0397525,4.523879,4.7584977,0
2023-01-16T00:14:26.000,6.620422,-2.4813995,5.2523084,3.1758306,-2.4813995,3.8332534,4.793622,0
2023-01-16T00:14:31.000,7.2349668,-2.4454522,5.880715,3.432448,-2.4454522,4.334529,5.2513194,0
2023-01-16T00:14:35.000,7.2511916,-2.5272763,5.8854313,3.3991694,-2.5272763,4.3505135,5.221655,0
2023-01-16T00:14:39.000,7.2178526,-2.7722173,5.8126993,3.2595594,-2.7722173,4.330508,5.0654607,0
2023-01-16T00:14:44.000,6.429389,-2.4897735,4.810494,3.4637,-2.4897735,3.3194995,4.9111094,0
2023-01-16T00:14:48.000,6.019436,-2.0871334,4.388349,3.5524461,-2.0871334,2.8927317,4.848668,0
2023-01-16T00:14:52.000,6.3396378,-1.8278726,5.3215995,2.9206972,-1.8278726,3.986733,4.5777564,0
2023-01-16T00:14:57.000,6.497893,-1.9299521,5.39048,3.07256,-1.9299521,3.9990401,4.7440047,0
2023-01-16T00:15:01.000,6.092287,-1.8936508,4.843134,3.1739726,-1.8936508,3.4503837,4.6502576,0
2023-01-16T00:15:05.000,6.8688993,-1.9061055,5.6370497,3.4310658,-1.9061055,4.106889,5.165462,0
2023-01-16T00:15:09.000,6.9283476,-1.9201268,5.710683,3.4209952,-1.9201268,4.179549,5.1813583,0
2023-01-16T00:15:14.000,5.912318,-1.500819,4.9964957,2.7817402,-1.500819,3.7298589,4.334882,0
2023-01-16T00:15:18.000,6.50569,-1.6228282,5.531983,3.0145645,-1.6228282,4.1521945,4.7381134,0
2023-01-16T00:15:22.000,6.3724213,-1.580658,5.389994,3.0095236,-1.580658,4.020729,4.6843357,0
2023-01-16T00:15:27.000,6.0574546,-1.481417,5.2639117,2.6056461,-1.481417,4.0417895,4.2617006,0
2023-01-16T00:15:31.000,6.9426765,-1.5740623,6.033183,3.053488,-1.5740623,4.609397,4.9473767,0
2023-01-16T00:15:35.000,6.7446065,-1.8882755,5.59964,3.2508717,-1.8882755,4.134446,4.98302,0
2023-01-16T00:15:40.000,4.871451,-1.1850069,4.1068068,2.3368633,-1.1850069,3.0486088,3.6100936,0
2023-01-16T00:15:44.000,6.380078,-1.5125209,5.495767,2.8660457,-1.5125209,4.1698327,4.5858665,0
2023-01-16T00:15:48.000,6.23816,-1.4359607,5.460602,2.6522598,-1.4359607,4.2106314,4.373012,0
2023-01-16T00:15:52.000,6.7934313,-1.7411189,5.8249054,3.03145,-1.7411189,4.4218516,4.8545284,0
2023-01-16T00:15:57.000,6.7672224,-1.5178201,5.799097,3.1403813,-1.5178201,4.3601246,4.9478106,0
2023-01-16T00:16:01.000,5.9381123,-1.8627361,4.900728,2.7882354,-1.8627361,3.6384006,4.307369,0
2023-01-16T00:16:05.000,5.8822823,-1.0801749,4.978675,2.9406226,-1.0801749,3.6590698,4.477239,0
2023-01-16T00:16:10.000,6.379243,-1.5339615,5.3233624,3.1628337,-1.5339615,3.9060426,4.804636,0
2023-01-16T00:16:14.000,6.6530747,-1.3313395,5.64335,3.2624438,-1.3313395,4.1721206,5.0084276,0
2023-01-16T00:16:18.000,6.1653347,-1.3738263,5.017311,3.3091607,-1.3738263,3.5684423,4.8363385,0
2023-01-16T00:16:23.000,5.9678607,-1.1223313,4.854812,3.284285,-1.1223313,3.4245558,4.756905,0
2023-01-16T00:16:27.000,6.0602474,-1.2261082,5.2373724,2.7916286,-1.2261082,3.9535956,4.426324,0
2023-01-16T00:16:31.000,6.6691036,-1.7815559,5.8668475,2.6235666,-1.7815559,4.6024804,4.485552,0
2023-01-16T00:16:35.000,5.38674,-1.3138765,4.8885937,1.8418334,-1.3138765,3.9538035,3.4144013,0
2023-01-16T00:16:40.000,2.3933089,-0.9976075,2.038556,0.7596021,-0.9976075,1.6516787,1.4158612,0
2023-01-16T00:16:44.000,5.371875,-1.0811772,4.8504663,2.0398717,-1.0811772,3.8498375,3.5870388,0
2023-01-16T00:16:48.000,6.171764,-1.2785922,5.5261497,2.4325988,-1.2785922,4.34876,4.188574,0
2023-01-16T00:16:53.000,7.014197,-1.5643907,6.3420453,2.5554054,-1.5643907,5.0723677,4.5850534,0
2023-01-16T00:16:57.000,7.352223,-1.6406281,6.7297864,2.4644463,-1.6406281,5.4677653,4.633256,0
2023-01-16T00:17:01.000,7.0917397,-1.6558433,6.401137,2.5644495,-1.6558433,5.1248527,4.613765,0
2023-01-16T00:17:06.000,7.052605,-1.5338588,6.4311156,2.455051,-1.5338588,5.190769,4.5213313,0
2023-01-16T00:17:10.000,7.4518833,-1.8487455,6.9028354,2.1127152,-1.8487455,5.7516437,4.362487,0
2023-01-16T00:17:14.000,7.2500668,-1.677126,6.9186635,1.3721538,-1.677126,6.0218077,3.6726747,0
2023-01-16T00:17:18.000,7.587805,-1.6892703,7.252301,1.457833,-1.6892703,6.305529,3.8680027,0
2023-01-16T00:17:23.000,5.984161,-1.5639895,5.6614733,1.1453558,-1.5639895,4.919906,3.026324,0
2023-01-16T00:17:27.000,6.514129,-1.1738997,6.1699133,1.7285861,-1.1738997,5.196252,3.748974,0
2023-01-16T00:17:31.000,7.6762934,-1.9655344,7.071786,2.2476647,-1.9655344,5.864057,4.546975,0
2023-01-16T00:17:36.000,6.845147,-1.5444161,6.288539,2.219256,-1.5444161,5.1386385,4.2503185,0
2023-01-16T00:17:40.000,6.804633,-1.0102822,5.996725,3.053138,-1.0102822,4.57742,4.932503,0
2023-01-16T00:17:44.000,5.065881,-1.0629412,4.183896,2.6510973,-1.0629412,3.0142055,3.9303775,0
2023-01-16T00:17:48.000,6.2226033,-1.1401927,4.694716,3.9217844,-1.1401927,3.0559847,5.299217,0
2023-01-16T00:17:53.000,4.5297074,-0.45953315,3.4889324,2.8520925,-0.45953315,2.2926567,3.879537,0
2023-01-16T00:17:57.000,4.2902575,-0.76655364,3.6582308,2.1061935,-0.76655364,2.7086277,3.237598,0
2023-01-16T00:18:01.000,4.9097714,-1.0272282,4.17346,2.3733714,-1.0272282,3.1003187,3.6658812,0
2023-01-16T00:18:06.000,4.1203456,-0.6483505,3.6837971,1.7281579,-0.6483505,2.862957,2.89143,0
2023-01-16T00:18:10.000,4.225662,-1.1063406,3.7414186,1.6229652,-1.1063406,2.9533317,2.8124833,0
2023-01-16T00:18:14.000,4.777702,-1.2454134,4.301226,1.6657842,-1.2454134,3.4641685,3.0454748,0
2023-01-16T00:18:19.000,5.75667,-1.6008073,4.9350386,2.4944057,-1.6008073,3.7738142,4.0416565,0
2023-01-16T00:18:23.000,4.893541,-0.8936489,4.123571,2.4787683,-0.8936489,3.0174487,3.7474165,0
2023-01-16T00:18:27.000,4.775552,-0.57390136,3.5152903,3.181079,-0.57390136,2.2045474,4.1972017,0
2023-01-16T00:18:31.000,5.113796,-0.69960546,3.9766493,3.1381083,-0.69960546,2.6525407,4.315726,0
2023-01-16T00:18:36.000,4.949077,-0.8323327,3.6619732,3.2234364,-0.8323327,2.3277934,4.2874193,0
2023-01-16T00:18:40.000,5.3586655,-0.7672731,4.0522118,3.421427,-0.7672731,2.626038,4.6076574,0
2023-01-16T00:18:44.000,5.372707,-0.74372655,3.8951623,3.624991,-0.74372655,2.4085612,4.744648,0
2023-01-16T00:18:49.000,5.9343023,-0.7178204,3.9135978,4.402775,-0.7178204,2.158103,5.4811735,0
2023-01-16T00:18:53.000,4.2518473,-0.42152366,2.5609632,3.3677871,-0.42152366,1.2446645,4.0436783,0
2023-01-16T00:18:57.000,5.2799845,-0.12125392,3.6135535,3.847826,-0.12125392,2.0676575,4.8567815,0
