UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm
2023-02-01T17:07:58.000,6.57879114151001,2.2748492,-6.1452007,0.584862,2.2748492,-6.0582733,-1.1844304
2023-02-01T17:08:02.000,6.7146501541137695,2.7311637,-6.0279694,1.1361567,2.7311637,-6.102403,-0.62285364
2023-02-01T17:08:06.000,6.733112812042236,3.1644986,-5.8361716,1.122434,3.1644986,-5.914577,-0.5818329
2023-02-01T17:08:10.000,7.063156604766846,3.4682891,-6.0481124,1.1311446,3.4682891,-6.1202283,-0.63400424
2023-02-01T17:08:15.000,6.72976541519165,3.1519282,-5.7169175,1.6346084,3.1519282,-5.945737,-0.057489038
2023-02-01T17:08:19.000,7.002538681030273,3.2494738,-6.0035963,1.5599039,3.2494738,-6.199354,-0.21090221
2023-02-01T17:08:23.000,6.713282108306885,3.1027412,-5.767008,1.4774227,3.1027412,-5.9490676,-0.22303689
2023-02-01T17:08:28.000,6.936580657958984,3.3929904,-5.89074,1.3794745,3.3929904,-6.039831,-0.352427
2023-02-01T17:08:32.000,6.905704498291016,3.260497,-5.888909,1.542292,3.260497,-6.0843606,-0.19611907
2023-02-01T17:08:36.000,7.034595489501953,3.2897694,-6.0576134,1.4029495,3.2897694,-6.206453,-0.37800193
2023-02-01T17:08:41.000,7.048065185546875,3.1817663,-6.10459,1.5118092,3.1817663,-6.282438,-0.28732085
2023-02-01T17:08:45.000,7.028998851776123,2.6370568,-6.410023,1.1680564,2.6370568,-6.477422,-0.70409155
2023-02-01T17:08:49.000,6.885188579559326,2.558449,-6.3528547,0.70809317,2.558449,-6.2916846,-1.1290975
2023-02-01T17:08:53.000,6.852303981781006,2.8918395,-6.087833,1.2367791,2.8918395,-6.188048,-0.5471667
2023-02-01T17:08:58.000,6.83782434463501,2.9866881,-6.053572,1.09078,2.9866881,-6.113614,-0.6776868
2023-02-01T17:09:02.000,6.9157819747924805,3.4889464,-5.9308667,0.6929045,3.4889464,-5.882666,-1.024467
2023-02-01T17:09:06.000,7.015775680541992,3.7122867,-5.8827553,0.9128152,3.7122867,-5.8991194,-0.8002618
2023-02-01T17:09:11.000,6.638009548187256,3.523598,-5.5357094,1.0016748,3.523598,-5.5917177,-0.61653554
