seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,rmse_b3,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,corr_b3,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2,snr_b3
0,[30.16323192 45.08578437 33.81481347],[23.66364566 11.06123519 31.09696998],[35.76236692 12.40680559 18.18729571],[ 75.4968487  179.86548721  75.08920153],[34.00733538 13.83908756 20.64912637],[34.79080683 24.63749825 77.47485516],[26.3375151   7.05883535 20.55308855],[21.47857595 13.7820476  30.81105085],[41.07183013 24.63749825 77.47485516],[33.61073809 11.71127477 31.31136301],[38.17594203 36.52074159 19.92732075],[0.99288417 0.98013837 0.87043727],[0.99644431 0.99879251 0.9124544 ],[0.99242506 0.99848083 0.9514534 ],[0.95751247 0.61296246 0.63617507],[0.9933762  0.99810965 0.93728164],[0.99315134 0.99401945 0.72180278],[0.99631454 0.99959637 0.94271851],[0.99699308 0.99823725 0.91149783],[0.98968877 0.99401945 0.72180278],[0.99362183 0.99864653 0.90766521],[0.98774031 0.98709876 0.94550969],[18.0498635  13.96867291  4.71085666],[20.1577879  26.17339297  5.4386351 ],[16.57089588 25.17626596 10.09763402],[10.08084449  1.95050873 -2.21855314],[17.00796888 24.22731636  8.99496294],[16.81013096 19.21753337 -2.49021887],[19.22792502 30.07480446  9.03545472],[20.9993113  24.26319059  5.51886637],[15.36853987 19.21753337 -2.49021887],[17.10985998 25.67738209  5.37895712],[16.00362572 15.79867375  9.30401836]
1,[49.67988694 52.40734662 84.06454399],[21.26269318 42.98789842 80.03503751],[14.05023648 55.2968932  18.53957183],[927.98971685 444.06395284 221.73196279],[309.90326183 136.24277154  18.90007214],[11.69288935 31.52264192 64.14005226],[ 6.09306218 19.22340453 46.56715439],[12.60153488 18.89831635 79.53171207],[11.69288935 31.52264192 39.44855828],[ 50.12046086  35.24323017 245.94471269],[14.14691353 21.27298842 29.38358947],[0.97881899 0.97385016 0.55532447],[0.99636072 0.98273035 0.62046699],[0.99854136 0.97011582 0.97013866],[0.35161512 0.44874184 0.26713616],[0.71109974 0.84908603 0.96771801],[0.99884528 0.99021844 0.05405907],[0.9996975  0.99788369 0.84029232],[0.99896184 0.99723282 0.64047304],[0.99884528 0.99021844 0.84708239],[0.98524169 0.98832239 0.28334876],[0.99888107 0.996337   0.90551415],[13.715809   12.66162206 -3.19926064],[21.08705552 14.38254122 -2.77260647],[24.6857483  12.19545087  9.93100259],[-11.7114423   -5.89944491 -11.62356944],[-2.18510198  4.36319611  9.76372735],[26.28098417 17.07701333 -0.8495896 ],[31.94270877 21.3728594   1.93140258],[25.63095205 21.52100321 -2.71781005],[26.28098417 17.07701333  3.37237387],[ 13.63911986  16.10795137 -12.52375323],[24.62618699 20.49289543  5.93089963]
2,[42.78929183 48.83100861 17.57187801],[39.0459292  18.10470165 12.36451602],[3.09295866 2.63882548 8.11082316],[165.9506677  140.53565272  61.50631211],[  4.82213976 102.0386621   93.90695265],[87.72716366  1.92779459  8.0536604 ],[ 9.98208079 38.38043401  4.3184467 ],[36.32417815 20.41098016 13.21248377],[5.76991842 1.92779459 8.0536604 ],[51.43386755 18.16273946 24.09944263],[176.11163699 174.90280553 290.28012607],[0.99061486 0.97871173 0.96471747],[0.99336828 0.99831506 0.98842694],[0.99993615 0.999932   0.99069793],[0.80951876 0.82224804 0.74966638],[0.99981848 0.89967452 0.57667165],[0.93183594 0.99996481 0.99081864],[0.99914776 0.98768141 0.99733141],[0.99516658 0.99789273 0.98531501],[0.99973227 0.99996481 0.99081864],[0.97866488 0.99695143 0.93246165],[0.8697915  0.77366407 0.20253114],[15.01271899 13.27555161 10.396633  ],[15.80790572 21.89363805 13.44945415],[37.83193866 38.62125212 17.11169794],[ 3.23984089  4.0937352  -0.48539717],[33.97462511  6.87417039 -4.16095837],[ 8.77673921 41.34825034 17.17313033],[27.65499937 15.36726787 22.58644531],[16.43550503 20.85218829 12.87330725],[32.41602752 41.34825034 17.17313033],[13.41443733 21.86583844  7.65285662],[  2.72365989   2.19352998 -13.96334948]
3,[ 42.01833804  73.02492312 125.31914987],[ 34.48697532  64.56487455 126.87008857],[ 2.55278893 12.37727417  7.53413502],[348.90909527 161.2304681  127.35850709],[474.47143442 440.47400162 172.87669028],[ 16.20230353 226.40724363 139.15588767],[ 6.78951363 18.54849588 96.85903477],[ 33.74160327  57.96578928 125.27347444],[10.92233358  5.43398191  8.63097549],[115.67380613 166.31585564 390.16741154],[26.52988912 32.22709413 37.56052387],[0.99125886 0.96353859 0.86292509],[0.99564318 0.97618058 0.8887379 ],[0.99996213 0.99898967 0.99648382],[0.86812392 0.85167732 0.84413278],[ 0.0933964   0.40571147 -0.25786677],[0.99829281 0.20542011 0.15185213],[0.99983811 0.99832757 0.35911275],[0.99666311 0.98438813 0.89079835],[0.99954407 0.99972655 0.99576628],[0.9317431  0.89559374 0.73409741],[0.99404066 0.99566502 0.88779705],[15.17064356  9.78004333 -6.66735222],[16.88631885 10.84953927 -6.77418828],[39.49912282 25.19696527 17.75232861],[-3.21482484  2.9005232  -6.80756261],[-5.88478044 -5.8289401  -9.4617322 ],[23.44788569 -0.04834085 -7.57703514],[31.00264768 21.68329154 -4.42980615],[17.07610668 11.78603043 -6.66418587],[26.87311224 32.34710174 16.57179892],[  6.37472045   2.63079241 -16.53202326],[19.16471227 16.88504255  3.79836377]
4,[214.04435237  53.80152599  66.57131695],[212.5522593   38.38752917  66.04735826],[ 1.72507621  2.55915449 20.94409889],[103.03288738  45.09370815  45.98332941],[139.56261143 160.97868393 118.65619022],[1.21736062 4.95361474 5.13952305],[29.33846847  7.30010342 92.52460158],[212.01537128  30.66831818  64.94780464],[1.21736062 4.95361474 5.13952305],[15.94682674 21.65337642 12.06190588],[719.36210799 101.06088307 205.18412537],[0.71793003 0.97750236 0.47629233],[0.72649088 0.98961932 0.49302613],[0.99997987 0.99994919 0.96252682],[0.90739099 0.97979353 0.88700155],[0.81914806 0.71817212 0.126472  ],[0.99999332 0.99981258 0.99628851],[0.99662474 0.99967164 0.10354809],[0.72890454 0.99522779 0.54111521],[0.99999332 0.99981258 0.99628851],[0.9983576  0.99626683 0.98493981],[-0.28830287  0.90796858 -0.21999349],[ 1.02934551 12.43357362 -1.17274638],[ 1.09010646 15.36566231 -1.10411245],[42.90325524 38.88753544  8.87176299],[ 7.37990356 13.96714651  2.04098832],[ 4.74403923  2.91409805 -6.19281141],[45.93103596 33.15102096 21.07454023],[18.29067219 29.78288524 -4.03214789],[ 1.112074   17.31566629 -0.95829293],[45.93103596 33.15102096 21.07454023],[23.58593546 20.33895299 13.66467788],[ -9.49953019   6.95780372 -10.94987856]
5,[28.34436149 57.139295   24.22990622],[20.12313315 32.80995427 20.66415405],[397.34988554 233.98491073   5.99478611],[148.9295113   91.27821518 236.61692283],[351.86048547 388.81339043 127.65364229],[26.19324096 18.48137353 16.63657948],[27.65096966 15.6584109   2.99563913],[15.61978166 30.84050096 21.09122844],[26.19324096 18.48137353 16.63657948],[53.26821428 85.04796162 92.46783709],[ 51.55256751 108.53337814  56.44126715],[0.99419649 0.9729678  0.94875905],[0.99751498 0.99359295 0.97997764],[0.62393301 0.77504529 0.99497024],[0.8994592  0.95264885 0.58200658],[0.66781561 0.5999188  0.70680173],[0.99645264 0.99735241 0.97395946],[0.99594354 0.99876024 0.99898211],[0.99884449 0.9951918  0.97513444],[0.99645264 0.99735241 0.97395946],[0.98444538 0.95907569 0.77712008],[0.97929755 0.89053143 0.72260989],[18.59008741 11.91076795  7.60596192],[21.56550895 16.729353    8.98864397],[-4.34404087 -0.33429153 19.73752274],[  4.17980568   7.84212271 -12.18791946],[-3.28798898 -4.74535877 -6.82766763],[19.27563621 21.7147806  10.8717158 ],[18.80521366 23.15451179 25.76320669],[23.76592179 17.26703702  8.81095907],[19.27563621 21.7147806  10.8717158 ],[13.11005821  8.45618732 -4.0268174 ],[13.39441498  6.33819908  0.26106148]
6,[30.52853723 44.89792301 29.89530902],[26.35324897 39.51103956 15.59712246],[  20.40862399   13.60762918 2717.76054083],[ 75.66119621 326.09543375  68.93367359],[128.18558588  64.03826056  28.7709489 ],[238.41396049 218.54235776  59.65256054],[13.08545265  7.50674614  7.09176908],[18.96608858 10.45969102 15.48940344],[11.37328023 13.35997911 18.88806353],[115.63350113 162.12255726 240.66339415],[20.74902553  7.09896129 38.49744493],[0.99279911 0.98019732 0.86675675],[0.9948502  0.9847279  0.97002302],[0.99642862 0.99856808 0.02949354],[0.96561103 0.54063167 0.6596282 ],[0.90836286 0.96212951 0.89668707],[0.1738094  0.24479731 0.16024355],[0.99859999 0.9995348  0.99333996],[0.99761192 0.99903371 0.96979659],[0.99906886 0.99862182 0.95491572],[0.89759428 0.8204686  0.24287249],[0.99632294 0.99955089 0.84093643],[17.94530106 14.00494048  5.78093564],[19.22273767 15.11509637 11.43210695],[ 21.44314649  24.37381619 -33.39122719],[10.06195691 -3.21742885 -1.47563188],[ 5.48263712 10.92067496  6.11391287],[ 0.09278733  0.25875302 -0.21958522],[25.30364597 29.54043091 18.27790487],[22.07986548 26.65908839 11.49230275],[26.52170617 24.53334992  9.76924789],[  6.37774747   2.85259659 -12.33520416],[21.29946687 30.02556934  3.58435846]
7,[49.71952556 60.64732958 26.800871  ],[ 9.87441204 50.4287065  11.68007657],[11.40173157 12.73348141  6.92917242],[71.62163543 98.84583939 32.45019514],[ 25.38038986 300.00926061  12.13939136],[36.36712434 89.35312951 42.3516377 ],[ 6.87080534 10.38754915  6.65218096],[ 9.531564   35.15837412  8.05597245],[36.36712434 99.10901117 41.24794247],[22.38122412 33.86203429 78.54707069],[51.57293477 74.72518961 51.81127505],[0.97886547 0.96936531 0.8893654 ],[0.99941491 0.97835216 0.9813024 ],[0.99888911 0.99874006 0.99479304],[0.9595103  0.93114784 0.90624747],[0.99449309 0.68216234 0.98012438],[0.98872781 0.92105256 0.72801748],[0.99986308 0.99933115 0.99588331],[0.99975254 0.99208354 0.99302565],[0.98872781 0.93572223 0.81110464],[0.9957202  0.99138914 0.57091661],[0.97700555 0.95211907 0.75039968],[13.70888146 11.39323184  6.73001842],[27.74919606 12.99590893 13.94408279],[26.50000473 24.95052233 18.47936922],[10.5385363   7.15029763  5.06865033],[19.5494552  -2.49322771 13.60905833],[16.42524174  8.02727014  2.75559241],[30.89926808 26.71920367 18.83371549],[28.0561376  16.12888984 17.17063714],[16.42524174  7.12720264  2.98495079],[20.64174425 16.4552046  -2.60960328],[13.39098406  9.58012499  1.00451098]
8,[38.84710848 46.25531074 42.81741658],[34.76050738 15.81848557 42.43844666],[41.95899385 15.66508553 38.8710621 ],[367.87540926 151.68098064  46.94908431],[ 2.2072453  10.21295282 30.58678678],[17.20684068 29.24283338 59.30843959],[15.78542164  6.63620191 25.88402689],[27.56400172 11.77387403 41.2974963 ],[23.17625936 25.47421713 15.13848736],[190.54744232 114.54803076 180.24993291],[ 94.17757757  16.68616363 136.17281681],[0.99015132 0.97898882 0.84955761],[0.99304629 0.99768807 0.85473365],[0.98514851 0.9977131  0.83284763],[0.5433068  0.83830875 0.79196894],[0.99995819 0.99906611 0.88678083],[0.99745082 0.99168506 0.17112833],[0.9979288  0.99961727 0.94011962],[0.99708579 0.99875041 0.87825766],[0.99540215 0.99378315 0.9679111 ],[0.78299416 0.8915048  0.32370554],[0.9758582  0.99764206 0.61398322],[15.852247   13.74623344  2.66058738],[16.81769883 23.06616744  2.737807  ],[15.18291966 23.15081009  3.50046844],[-3.67459419  3.43084294  1.86045406],[40.76240896 26.86643898  5.58231947],[22.92539822 17.72907651 -0.16933337],[23.67429724 30.61107367  7.03235974],[18.8325756  25.6310778   2.97452213],[20.33855413 18.92744858 11.69134694],[ 2.0393585   5.86971295 -9.82450565],[ 8.16047066 22.60233554 -7.38881184]
9,[91.20927577 85.47626652 56.91435596],[92.03819143 76.33649269 57.79871813],[121.74987064  69.27786506 177.83522838],[401.02262958 134.06718839 134.85472995],[365.14496749 444.4345809  111.16361147],[259.0860304   24.54736965  99.22070136],[167.49086511  83.0771169  220.48680529],[89.18376613 67.15796401 56.19016238],[182.6073876   24.54736965  99.22070136],[120.49595029  16.29319951  85.03468941],[171.78375347 266.44625539  48.94261499],[0.98511531 0.96718541 0.81534456],[0.98408295 0.97480681 0.79752068],[0.93074269 0.97124868 0.30067232],[0.6989827  0.86745462 0.34863712],[0.54758272 0.56302211 0.45599389],[0.15239718 0.99756839 0.52880826],[0.90227351 0.93020162 0.02000697],[0.98934524 0.98666522 0.83525325],[0.91056827 0.99756839 0.52880826],[0.92093029 0.99739858 0.6254329 ],[0.93654612 0.2537432  0.75177194],[8.43864083 8.41255461 0.18856007],[8.36005945 9.39482146 0.05463245],[ 5.9300508  10.23757559 -9.70735935],[-4.42395664  4.50301547 -7.30432709],[-3.60988542 -5.90669137 -5.62625637],[-0.62945897 19.24936625 -4.63904927],[  3.15959846   8.65983717 -11.57465551],[ 8.63370481 10.50751507  0.29979084],[ 2.4090541  19.24936625 -4.63904927],[ 6.01997195 22.80933799 -3.29892601],[ 2.93977921 -1.46272692  1.49925319]
10,[27.46389101 45.80973542 16.75807152],[18.66106496 17.74675883 14.07767138],[283.73085198  15.7977329   73.02685046],[246.21145014  77.91141415  81.38691856],[ 63.99472173 108.46927943  53.99527941],[237.93880659 220.17463234  29.93675258],[28.04243375 16.66483693  5.62902873],[13.66740498 15.38540029  9.86643937],[97.25881989 31.20133109 75.31949377],[142.48247797  85.37631025  83.95979662],[26.76241031 15.95453015  5.09181448],[0.99357498 0.98032417 0.96957885],[0.99701741 0.9987083  0.97922902],[0.63009636 0.99843021 0.6195707 ],[0.69874871 0.9682154  0.57236539],[0.96599562 0.8915513  0.72840419],[0.16237233 0.22066119 0.88009531],[0.99730441 0.99916156 0.99723294],[0.99843634 0.99873939 0.99489991],[0.92659076 0.99067855 0.60801314],[0.85504732 0.94895843 0.55290898],[0.99757524 0.99925563 0.99733591],[18.86417963 13.83030983 10.8085158 ],[22.22069248 22.06708455 12.32238012],[-1.41871027 23.07757016 -1.97665483],[-0.18674395  9.21744376 -2.91809553],[11.51653787  6.3433304   0.64588073],[0.11011539 0.1941199  5.76890283],[18.68310692 22.61344413 20.28432728],[24.92569971 23.3072895  15.40978756],[ 7.88084106 17.16600306 -2.24515126],[ 4.56419178  8.42271787 -3.18843097],[19.08891648 22.99178512 21.15554515]
11,[28.00927206 45.64991052 14.79584195],[23.78655224 11.66068589 32.12466338],[100.58273016  26.11218103 669.76336597],[ 66.8248309  321.21049147 183.56111649],[60.70223518 38.55325922 96.35830692],[25.45379474 87.6343032  42.15367735],[ 5.16991253 17.63625603 13.58523874],[ 5.44682017 13.38355469  6.59441913],[168.29752054  22.3054419  242.54723072],[ 72.84072519 191.63997284 127.19253423],[10.13298668  5.88855022 13.336469  ],[0.99328854 0.97961785 0.97165486],[0.99515322 0.99911004 0.87510663],[0.92269359 0.99359394 0.08630176],[0.9634632  0.57948314 0.30232733],[0.96941661 0.98610275 0.51977976],[0.99445625 0.9224879  0.81202395],[0.99978256 0.99716588 0.98054618],[0.99978198 0.99858307 0.99500571],[0.82060543 0.99531843 0.23415413],[0.95668603 0.76662977 0.41904569],[0.99922746 0.99979462 0.98057221],[18.69338453 13.86066689 11.89020292],[20.11279102 25.71498357  5.15622487],[  7.58895258  18.71260254 -21.2254312 ],[11.1406636  -3.08632894 -9.98261723],[11.97532731 15.32824353 -4.38478663],[19.52437022  8.19598274  2.79628724],[33.36975706 22.1213376  12.63165109],[32.91656022 24.51803594 18.90946565],[  3.11786662  20.08124887 -12.40292982],[10.39193575  1.39974349 -6.79623582],[27.52467153 31.64929784 12.79217939]
12,[44.70799175 65.92612215 14.79155099],[43.56674299 91.0919863  13.86677882],[ 84.47450004 284.22029296  26.42507732],[208.88601412 669.5214037   52.78579252],[271.55722826 165.76319667 124.59578774],[243.03768184 231.18521283  58.37161554],[15.36922792  8.98081736 13.812549  ],[37.62705831 48.19786488  6.85470405],[ 86.13655518 446.4690218   43.95023699],[ 98.14640282 146.25872308  76.56417674],[4.53530049 1.90722098 7.17816697],[0.99171477 0.96930996 0.97127436],[0.9925368  0.93401896 0.97361933],[0.94817235 0.60137093 0.94407628],[0.80951131 0.24210843 0.77939806],[0.77493653 0.81200334 0.56310654],[0.154353   0.15150403 0.14540617],[0.99902653 0.99951186 0.98569606],[0.99676818 0.98938461 0.99495771],[0.94473349 0.46057089 0.84990376],[0.96006454 0.8874875  0.70166166],[0.99984911 0.99997315 0.99453009],[14.63171773 10.66831488 11.89272229],[14.8563191   7.85986206 12.45348481],[ 9.10490837 -2.02363615  6.85267125],[ 1.24123371 -9.46582381  0.84265566],[-1.03780637  2.65970323 -6.61707062],[-0.07405131 -0.22973554 -0.03103768],[23.90637995 27.98314821 12.48751995],[16.12941564 13.3889095  18.57322241],[ 8.93567099 -5.94636112  2.43377216],[ 7.80193324  3.74702995 -2.38751576],[34.50729963 41.44144518 18.17272546]
13,[50.30256366 46.00714439 21.64089578],[21.17765538 18.53854766 20.42030516],[5.44941779 9.24917492 4.47761775],[169.82875601  54.52475027  49.37707826],[61.42600107 61.03088197 15.49867353],[6.62336003 6.15446757 3.57599312],[ 8.50657235 38.83152575  2.33178072],[11.48485446 12.3125535  17.37359176],[6.62336003 6.15446757 3.57599312],[14.004538   48.78132646 35.35431673],[38.08522727 43.69237558 63.97938104],[0.97861475 0.97915572 0.93624771],[0.996823   0.99679834 0.94454898],[0.99983163 0.99917075 0.99704142],[0.83428124 0.97126263 0.67075381],[0.96697876 0.96291801 0.96413184],[0.99964235 0.99966187 0.9981393 ],[0.99959462 0.99192033 0.99940607],[0.99957495 0.998763   0.96197772],[0.99964235 0.99966187 0.9981393 ],[0.99850427 0.97632062 0.87134911],[0.9891749  0.9878165  0.63350447],[13.60761858 13.79295994  8.58749191],[21.12186344 21.68795134  9.09175203],[32.91241887 27.72740564 22.27205627],[ 3.0391964  12.3175918   1.42248882],[11.87237611 11.33847258 11.48710598],[31.21785371 31.26565574 24.22506309],[29.04432897 15.2657764  27.93924246],[26.43691105 25.24250289 10.49520434],[31.21785371 31.26565574 24.22506309],[24.71404525 13.28439339  4.32414762],[16.02428994 14.24135234 -0.8278041 ]
14,[104.41442035 122.29357671  65.31115723],[ 97.75038206 113.06964488  66.86852504],[32.44096797 25.38170763 12.79620655],[69.73603276 42.75971292  9.13730898],[231.40052631 304.61016145  46.109086  ],[252.49253387 241.48819211  85.96686503],[ 97.73328328 200.95377837  21.47974515],[100.29054866 112.91269216  65.37737442],[24.06059565 15.71130734 16.34492476],[392.45291898 410.4692475  329.48009418],[ 9.0889614  15.40227126 14.35230711],[0.93341993 0.88427424 0.86119416],[0.94543457 0.910075   0.88125447],[0.99265988 0.99471595 0.97849967],[0.96713079 0.98638203 0.98808716],[0.76156528 0.56463489 0.85016868],[0.08589323 0.10706107 0.05693404],[0.96901961 0.79212398 0.93532218],[0.94101567 0.90982473 0.8815138 ],[0.99561675 0.99757528 0.96741525],[0.55073152 0.42613409 0.46165905],[0.99939315 0.99770136 0.9758771 ],[ 7.26421133  5.30139256 -1.00675099],[ 7.8370517   5.98254494 -1.21143829],[17.41754489 18.95904876 13.15137175],[10.77027623 14.42876989 16.07663037],[ 0.35213412 -2.62542224  2.01726632],[-0.40554984 -0.6084525  -3.39362521],[7.8385712  0.98754197 8.6524141 ],[ 7.61422083  5.99461025 -1.01555292],[20.01329348 23.12521902 11.02533807],[ -4.2363303   -5.216147   -15.06358704],[28.46913579 23.29777014 12.15456221]
15,[29.05233601 86.06244221 15.78670855],[14.02968742 26.54859242 12.32337422],[64.02214002  8.74580644 22.14210021],[48.24220069 96.56612152 76.36052295],[31.02384241 27.50176507 55.4469846 ],[237.90722608  69.81129674  37.31871703],[10.7113095   2.92826776  8.73648524],[15.53236143 24.49146882 10.83187477],[54.02763362 69.81129674 31.67427699],[41.28029158  9.60863374 45.99038253],[23.10773789 64.27665683 17.49279598],[0.99325975 0.92801272 0.9631137 ],[0.99877279 0.99627538 0.97863102],[0.96628756 0.9995694  0.93488279],[0.98098393 0.92516657 0.582779  ],[0.99182155 0.99303495 0.73523103],[0.21041587 0.95517696 0.77958455],[0.99906462 0.99992936 0.99288418],[0.99840503 0.99733824 0.98293442],[0.97578079 0.95517696 0.87902778],[0.98570563 0.9993838  0.78815416],[0.99765362 0.98098145 0.97408818],[18.3757998   8.35319218 11.32716476],[24.69846107 18.5686355  13.47840385],[11.51281723 28.21346827  8.38862035],[13.97087875  7.35296973 -2.36438129],[17.80550926 18.26225414  0.41543793],[ 0.11126831 10.1709514   3.85446249],[27.04256961 37.71724979 16.46626164],[23.81467121 19.26916887 14.59892397],[12.98710205 10.1709514   5.27886238],[15.32456585 27.39623271  2.03965615],[20.36427232 10.8883999  10.43581196]
16,[29.22594953 49.40431081 17.44409027],[15.78882016 36.14164293 16.60094827],[ 97.06988459 162.67572264  64.94626378],[113.9481524  582.29124248 113.84929941],[271.6609184  159.28856316  55.26843859],[107.12276838 222.32047108  55.17956473],[13.04179322 37.58824431  7.85527651],[12.22394572 23.60145915 12.19586084],[107.12276838 257.53730927  58.18804185],[111.46309343  64.47226444  65.23409852],[2.76113592 5.14843111 8.84863038],[0.99351121 0.98006018 0.96936429],[0.99834188 0.98787835 0.97582596],[0.92756028 0.76465267 0.65625983],[0.93520938 0.22231818 0.62970806],[0.62319824 0.77302699 0.72059743],[0.91380569 0.16710664 0.42241662],[0.99930934 0.99503472 0.9912462 ],[0.99926601 0.99739093 0.99291124],[0.91380569 0.65568663 0.78619439],[0.90793712 0.97300327 0.65443291],[0.99995599 0.9998342  0.99180937],[18.32404837 13.1741686  10.46003007],[23.67242741 15.88930768 10.89033866],[ 7.89773071  2.82301061 -0.95808686],[ 6.50527522 -8.25333967 -5.83361066],[-1.04112232  3.0057736   0.44345268],[7.04178522 0.10987642 0.45743118],[25.33267477 15.54842468 17.38976704],[25.89519272 19.59068842 13.56874738],[ 7.04178522e+00 -1.16733758e+00 -3.67826485e-03],[ 6.69679913 10.86200702 -0.99649672],[38.81766525 32.81596738 16.3554755 ]
17,[26.21311426 45.42874786 13.97966887],[12.61306569 24.26016112  7.44443333],[10.83319282  6.95170369 12.49824171],[175.32435688  28.89607905 113.07578492],[250.41084769  66.18359885   8.86517645],[11.41986143  5.30189286 30.28982735],[6.5835067  8.47580248 6.27020034],[ 9.58741685 15.93764162  6.6085081 ],[11.41986143  5.30189286 30.28982735],[27.73626513 67.82070836 49.85553408],[25.08432431 25.23054595 17.32453721],[0.99448419 0.98009832 0.97364204],[0.99896968 0.99483911 0.99219873],[0.99899378 0.99959026 0.97904117],[0.80178684 0.99567949 0.53930915],[0.47502559 0.9583475  0.99075356],[0.99888957 0.99977812 0.8829436 ],[0.99983574 0.99954679 0.99470656],[0.99943826 0.9981126  0.99463189],[0.99888957 0.99977812 0.8829436 ],[0.99577903 0.95990097 0.75248716],[0.99709118 0.99610286 0.95919286],[19.26904856 13.90285017 12.38305889],[25.62300782 19.35159188 17.85636369],[26.94429151 30.20764045 13.3560182 ],[ 2.76257588 17.83268717 -5.77439564],[-0.3336418  10.63445792 16.3392489 ],[26.48620429 32.56084656  5.66706063],[31.27027533 28.48584896 19.34736824],[28.00538876 23.00098437 18.89092805],[26.48620429 32.56084656  5.66706063],[18.77846137 10.42221907  1.33872912],[19.65137283 19.01093254 10.51976374]
18,[10.88092322 45.9083522  15.71367957],[10.93254498  7.81748847  7.03463111],[45.5840894   9.75489876 42.71791594],[152.2397402  324.01426142  87.8752699 ],[124.9495446   73.06647091  74.65303727],[ 90.17358061 206.19381254  15.57548415],[ 5.12697576  2.97177849 14.36100221],[ 8.85274    12.72773675  7.08446124],[56.18546643 37.31347919 15.57548415],[44.90973694 68.06527845 49.13359903],[ 3.22417803  3.57392124 26.62867346],[0.99899941 0.97929812 0.96597143],[0.99898229 0.99958914 0.99303185],[0.98228023 0.99939195 0.80405451],[0.82144908 0.61148236 0.55812473],[0.87296993 0.95065232 0.67894095],[0.92746864 0.40923165 0.96592812],[0.99986847 0.99992741 0.97706839],[0.99942383 0.99857266 0.99292111],[0.97417881 0.98667438 0.96592812],[0.98262106 0.96105102 0.75996215],[0.99991359 0.99992064 0.92228046],[26.90610605 13.8116314  11.36743873],[26.86499551 29.18812051 18.34817002],[14.4631553  27.26501017  2.68079545],[ 3.98886029 -3.16181702 -3.58433685],[ 5.70472742  9.77510287 -2.16795305],[ 8.53783467  0.76395292 11.44416548],[33.44219568 37.58913679 12.14930161],[28.69786678 24.95444182 18.28686001],[12.64694116 15.61215059 11.44416548],[14.59261075 10.39095299  1.46542504],[37.47104069 35.98656595  6.78600594]
19,[43.33187289 54.823325   35.87713199],[38.02951182 30.61249681 32.94198579],[26.0130668  22.52295959 30.52787228],[ 55.88299653  58.16493321 194.35181284],[249.14740705 334.87486052 128.02974409],[189.81841653  18.07155112  54.00610626],[54.3140644  23.64924864 14.54681773],[36.6597565  34.41726428 33.29975394],[25.31092588 18.07155112  7.5620044 ],[136.16588258  76.64795557 108.52998544],[23.75034049 50.08368782 59.0471731 ],[0.99200683 0.9740164  0.88746087],[0.99568761 0.994918   0.91934134],[0.99737442 0.99677641 0.93503895],[0.99154008 0.97694302 0.14308484],[0.8981017  0.75250937 0.63459086],[0.64384242 0.99782919 0.69204292],[0.99735745 0.99684944 0.96963478],[0.99696904 0.99229494 0.91366382],[0.99464216 0.99782919 0.99195681],[0.95799261 0.97028592 0.40716773],[0.99520502 0.97637828 0.6934111 ],[14.90327176 12.27015807  4.19664222],[16.03700596 17.33149044  4.93800107],[19.33558985 19.99695635  5.59906586],[ 12.69382726  11.75624083 -10.47877533],[-0.28970646 -3.44818541 -6.85322096],[ 2.07265405 21.90955689  0.64413925],[12.94117491 19.57311855 12.03763664],[16.35562945 16.31393857  4.8441761 ],[19.57326033 21.90955689 17.72025807],[ 4.95805486  9.35945399 -5.41799831],[20.12602417 13.0555395  -0.13098562]
20,[37.29893749 52.38298231 29.2166184 ],[35.17945615 22.13794829 28.37608763],[2.28509929 2.29166071 5.88291695],[33.13348554 68.87144607 27.86077199],[ 4.80110339 88.8889654  11.93046963],[7.92561705 2.13650074 7.20966695],[ 5.05032026 43.39393422 32.04772649],[27.88172663 20.18921182 26.66012249],[3.06262115 2.13650074 7.20966695],[29.65133586 19.23810613 31.80340356],[132.06826823  91.782148   136.67151473],[0.98824474 0.97288646 0.87451435],[0.98957695 0.99525354 0.88166258],[0.99995568 0.99996012 0.99509694],[0.99077744 0.95547634 0.90881678],[0.99980274 0.9284128  0.9804444 ],[0.99946242 0.99996565 0.99237804],[0.99979648 0.98164803 0.90606828],[0.99347334 0.99603225 0.89780986],[0.99991989 0.99996565 0.99237804],[0.99255109 0.99644379 0.87233984],[0.86749943 0.92909261 0.35990226],[16.20549176 12.66566109  5.98039762],[16.71363855 20.14671812  6.23394625],[40.46131946 39.84645911 19.90114224],[17.23407848 10.28868146  6.39313366],[34.01259981  8.07250847 13.75984579],[29.65875928 40.45540454 18.13469253],[33.57304259 14.30088497  5.17705207],[18.73302768 20.94707821  6.77575378],[37.91755542 40.45540454 18.13469253],[18.19853569 21.36621917  5.24352458],[ 5.22345131  7.79430115 -7.42056357]
